,NP,PF,DD,Tr,T_Per,T_Opt,KA,IS,ML,MH,LB1,LB2,Score
99,8168.0,1.842496132026818,849.0,199,97,1.5,0.0,0.0,-9999.0,101.5,150,140,15049.50840639505
100,8168.0,1.842496132026818,849.0,199,97,1.5,0.0,0.0,-9999.0,101.5,155,140,15049.50840639505
98,8168.0,1.842496132026818,849.0,199,97,1.5,0.0,0.0,-9999.0,101.5,145,140,15049.50840639505
101,8200.0,1.8302956662616443,849.0,203,97,1.5,0.0,0.0,-9999.0,101.5,160,140,15008.424463345484
47,8492.0,1.7206993125689554,843.0,307,97,1.5,0.0,0.0,-9999.0,100.0,145,140,14612.178562335568
64,8356.0,1.7471387696709586,898.0,267,97,1.5,0.0,0.0,-9999.0,100.5,145,140,14599.09155937053
215,7588.0,1.9234513812827065,807.0,127,97,1.5,0.0,0.0,-9999.0,105.0,135,140,14595.149081173176
198,7562.0,1.9176070865186263,807.0,129,97,1.5,0.0,0.0,-9999.0,104.5,135,140,14500.944788253852
220,7608.0,1.9052831984769159,811.0,131,97,1.5,0.0,0.0,-9999.0,105.0,160,140,14495.394574012376
65,8290.0,1.745771860381432,898.0,269,97,1.5,0.0,0.0,-9999.0,100.5,150,140,14472.448722562072
66,8284.0,1.7423604265615198,898.0,273,97,1.5,0.0,0.0,-9999.0,100.5,155,140,14433.71377363563
216,7544.0,1.9132066335794697,811.0,129,97,1.5,0.0,0.0,-9999.0,105.0,140,140,14433.23084372352
218,7544.0,1.9132066335794697,811.0,129,97,1.5,0.0,0.0,-9999.0,105.0,150,140,14433.23084372352
217,7544.0,1.9132066335794697,811.0,129,97,1.5,0.0,0.0,-9999.0,105.0,145,140,14433.23084372352
219,7544.0,1.9132066335794697,811.0,129,97,1.5,0.0,0.0,-9999.0,105.0,155,140,14433.23084372352
117,7918.0,1.8220514950166113,849.0,187,97,1.5,0.0,0.0,-9999.0,102.0,155,140,14427.003737541529
116,7918.0,1.8220514950166113,849.0,187,97,1.5,0.0,0.0,-9999.0,102.0,150,140,14427.003737541529
114,7918.0,1.8220514950166113,849.0,187,97,1.5,0.0,0.0,-9999.0,102.0,140,140,14427.003737541529
115,7918.0,1.8220514950166113,849.0,187,97,1.5,0.0,0.0,-9999.0,102.0,145,140,14427.003737541529
204,7512.0,1.919348916901236,829.0,125,97,1.5,0.0,0.0,-9999.0,105.0,80,140,14418.149063762086
207,7512.0,1.919348916901236,829.0,125,97,1.5,0.0,0.0,-9999.0,105.0,95,140,14418.149063762086
206,7512.0,1.919348916901236,829.0,125,97,1.5,0.0,0.0,-9999.0,105.0,90,140,14418.149063762086
205,7512.0,1.919348916901236,829.0,125,97,1.5,0.0,0.0,-9999.0,105.0,85,140,14418.149063762086
203,7582.0,1.8996203132415757,811.0,133,97,1.5,0.0,0.0,-9999.0,104.5,160,140,14402.921214997627
67,8312.0,1.732722143864598,898.0,279,97,1.5,0.0,0.0,-9999.0,100.5,160,140,14402.38645980254
118,7950.0,1.810149801284011,849.0,191,97,1.5,0.0,0.0,-9999.0,102.0,160,140,14390.690920207888
199,7518.0,1.9074230537115269,811.0,131,97,1.5,0.0,0.0,-9999.0,104.5,140,140,14340.006517803258
201,7518.0,1.9074230537115269,811.0,131,97,1.5,0.0,0.0,-9999.0,104.5,150,140,14340.006517803258
202,7518.0,1.9074230537115269,811.0,131,97,1.5,0.0,0.0,-9999.0,104.5,155,140,14340.006517803258
200,7518.0,1.9074230537115269,811.0,131,97,1.5,0.0,0.0,-9999.0,104.5,145,140,14340.006517803258
164,7606.0,1.8764692325420604,807.0,143,97,1.5,0.0,0.0,-9999.0,103.5,135,140,14272.424982714912
187,7454.0,1.9060410842348365,829.0,129,97,1.5,0.0,0.0,-9999.0,104.5,80,140,14207.63024188647
188,7454.0,1.9060410842348365,829.0,129,97,1.5,0.0,0.0,-9999.0,104.5,85,140,14207.63024188647
190,7454.0,1.9060410842348365,829.0,129,97,1.5,0.0,0.0,-9999.0,104.5,95,140,14207.63024188647
189,7454.0,1.9060410842348365,829.0,129,97,1.5,0.0,0.0,-9999.0,104.5,90,140,14207.63024188647
212,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,120,140,14193.230100253653
210,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,110,140,14193.230100253653
209,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,105,140,14193.230100253653
213,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,125,140,14193.230100253653
211,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,115,140,14193.230100253653
214,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,130,140,14193.230100253653
208,7464.0,1.9015581591979707,829.0,127,97,1.5,0.0,0.0,-9999.0,105.0,100,140,14193.230100253653
147,7686.0,1.8461030383091148,889.0,159,97,1.5,0.0,0.0,-9999.0,103.0,135,140,14189.147952443856
154,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,85,140,14179.122487143524
156,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,95,140,14179.122487143524
153,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,80,140,14179.122487143524
155,7538.0,1.881019167835437,829.0,143,97,1.5,0.0,0.0,-9999.0,103.5,90,140,14179.122487143524
172,7438.0,1.9032179720704312,829.0,131,97,1.5,0.0,0.0,-9999.0,104.0,90,140,14156.135276259867
173,7438.0,1.9032179720704312,829.0,131,97,1.5,0.0,0.0,-9999.0,104.0,95,140,14156.135276259867
171,7438.0,1.9032179720704312,829.0,131,97,1.5,0.0,0.0,-9999.0,104.0,85,140,14156.135276259867
